# glossaire_classifie.csv V1.0.0 - 28/12/2025 10:07:17
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
pt;dents qui grincent;grinding teeth;;;;歯ぎしり;;;;;;
pt;dents qui se chevauchent;overlapping teeth;;;;重なり合う歯;;;;;;
o;dents quis grincents;teeth that grind;;;;歯ぎしり;;;;;;
o;dents quis nes pousses pas;teeth that don't grow;;;;生えない歯;;;;;;
o;dents quis nes sorts pas;dents quis nes sorts;;;;歯ブラシ;;;;;;
o;dents quis ses chevauchents;teeth that overlap;;;;重なり合う歯;;;;;;
o;dents retenues;retained teeth;;;;留め歯;;;;;;
o;dents rotées;rotary teeth;;;;回転歯;;;;;;
o;dents supplémentaires;additional teeth;;;;差し歯;;;;;;
o;dents tournées;turned teeth;;;;反っ歯;;;;;;
pt;dents transposées;transposed teeth;;;;受け口;;;;;;
pt;dents trop grandes;teeth too large;;;;歯が大きすぎる;;;;;;
pt;dents trop petites;teeth too small;;;;歯が小さすぎる;;;;;;
o;dents trops basses;teeth too low;;;;歯が低すぎる;;;;;;
o;dents trops grandes;teeth too large;;;;歯が大きすぎる;;;;;;
o;dents trops hautes;teeth too high;;;;歯が高すぎる;;;;;;
o;dents trops petites;teeth too small;;;;歯が小さすぎる;;;;;;
pt;dents écartées;teeth apart;;;;歯並び;;;;;;
pt;denture mixte;mixed gears;;;;ミックスギア;;;;;;
pt;denture permanente;permanent teeth;;;;永久歯;;;;;;
pt;denture temporaire;temporary teeth;;;;仮歯;;;;;;
o;dentures mixtes;mixed gears;;;;ミックスギア;;;;;;
o;dentures permanentes;permanent teeth;;;;永久歯;;;;;;
o;dentures temporaires;temporary teeth;;;;仮歯;;;;;;
o;deuxième;second;;;;セカンド;;;;;;
o;deuxièmes;second;;;;セカンド;;;;;;
t;diastemata;diastemata;;;;ジアステマータ;;;;;;
o;diasteme;diasteme;;;;ジアステメ;;;;;;
o;diastemes;screens;;;;スクリーン;;;;;;
t;diastème;diastema;;;;ジアステマ;;;;;;
pt;diastème central;central diastema;;;;中央ジアステマ;;;;;;
pt;diastèmes;diastemas;;;;拡張;;;;;;
o;diastèmes centraux;central diastemas;;;;中央拡張症;;;;;;
o;diastèmesse;diastema;;;;ジアステマ;;;;;;
o;diastèmesses;diastemas;;;;拡張;;;;;;
a;différé;deferred;;;;延期;;;;;;
a;différée;deferred;;;;延期;;;;;;
a;différées;deferred;;;;延期;;;;;;
a;différés;deferred;;;;延期;;;;;;
a;digital;digital;;;;デジタル;;;;;;
pt;digital impression;digital printing;;;;デジタル印刷;;;;;;
a;digitale;digital;;;;デジタル;;;;;;
a;digitales;digital;;;;デジタル;;;;;;
a;digitaux;digital;;;;デジタル;;;;;;
o;digitaux impressions;digital impressions;;;;デジタル・インプレッション;;;;;;
pt;discrepance;discrepance;;;;不一致;;;;;;
o;discrepances;discrepances;;;;相違;;;;;;
pt;disjoncteur;circuit breaker;;;;サーキットブレーカー;;;;;;
pt;disjoncteur palatin;pallet circuit breaker;;;;パレット遮断器;;;;;;
o;disjoncteurs palatins;palatine circuit breakers;;;;パラティン・サーキット・ブレーカー;;;;;;
pt;disjonction;disconnection;;;;切断;;;;;;
o;disjonctionne;disconnects;;;;切断;;;;;;
o;disjonctionnes;disconnected;;;;バラバラ;;;;;;
o;disjonctions;circuit breakers;;;;サーキットブレーカー;;;;;;
pt;dislocation;dislocation;;;;転位;;;;;;
o;dislocationne;dislocationne;;;;転位;;;;;;
o;dislocationnes;dislocationnes;;;;転位;;;;;;
o;dislocations;dislocations;;;;脱臼;;;;;;
t;distalisation;distalization;;;;ディスタリゼーション;;;;;;
pt;distalisation molaire;molar distalization;;;;大臼歯遠位化;;;;;;
o;distalisations molaires;molar distalization;;;;大臼歯遠位化;;;;;;
pt;disto-occlusion;disto-occlusion;;;;反対咬合;;;;;;
o;disto-occlusionne;disto-occlusionne;;;;ジストオスクリュージョン;;;;;;
o;disto-occlusionnes;disto-occlusion;;;;反対咬合;;;;;;
o;disto-occlusions;disto-occlusions;;;;不定愁訴;;;;;;
pt;distocclusion;distocclusion;;;;反対咬合;;;;;;
pt;distocclusion dentaire;dental distocclusion;;;;歯列不正;;;;;;
o;distocclusionne;distocclusionne;;;;ディストクルージョン;;;;;;
o;distocclusionnes;distocclusions;;;;不定愁訴;;;;;;
o;distocclusions;distocclusions;;;;不定愁訴;;;;;;
o;distocclusions dentaires;dental distocclusions;;;;歯列不正;;;;;;
a;diurne;diurnal;;;;昼行性;;;;;;
a;diurnes;diurnal;;;;昼行性;;;;;;
pa;div 1;div 1;;;;1割;;;;;;
pa;div 2;div 2;;;;ディブ2;;;;;;
pa;div1;div1;;;;ディヴワン;;;;;;
pa;div2;div2;;;;ディブ2;;;;;;
a;division 1;division 1;;;;第1部門;;;;;;
a;division 2;division 2;;;;ディビジョン2;;;;;;
t;douleur;pain;;;;痛み;;;;;;
pt;douleur dentaire;dental pain;;;;歯痛;;;;;;
o;douleurs dentaires;dental pain;;;;歯痛;;;;;;
pt;douzième;twelfth;;;;十二番目;;;;;;
o;douzièmes;twelfths;;;;十二月;;;;;;
a;droit;right;;;;右;;;;;;
a;droite;right;;;;右;;;;;;
a;droites;straight;;;;ストレート;;;;;;
a;droits;rights;;;;権利;;;;;;
t;dysfonction linguale;lingual dysfunction;;;;舌機能障害;;;;;;
pt;dysfonction temporo-mandibulaire;temporomandibular dysfunction;;;;顎機能障害;;;;;;
o;dysfonctions temporo-mandibulaires;temporomandibular dysfunctions;;;;顎関節機能障害;;;;;;
pt;dysharmonie;disharmony;;;;不統一;;;;;;
pt;dysharmonie dentaire;dental disharmony;;;;歯の不調和;;;;;;
pt;dysharmonie dento-maxillaire;dento-maxillary disharmony;;;;歯と顎の不調和;;;;;;
o;dysharmonies;disharmony;;;;不統一;;;;;;
o;dysharmonies dentaires;dental disharmony;;;;歯の不調和;;;;;;
o;dysharmonies dento-maxillaires;dento-maxillary disharmony;;;;歯と顎の不調和;;;;;;
pt;dysmorphie;dysmorphia;;;;異形症;;;;;;
o;dysmorphies;dysmorphia;;;;異形症;;;;;;
pt;dysmorphose;dysmorphosis;;;;異形;;;;;;
o;dysmorphoses;dysmorphoses;;;;変形異常;;;;;;
t;dysplasie;dysplasia;;;;異形成;;;;;;
t;débandage;spreading;;;;拡散;;;;;;
pt;décalage dentaire;tooth shift;;;;トゥースシフト;;;;;;
pt;décalage horizontal;horizontal shift;;;;水平シフト;;;;;;
pt;décalage mandibulaire;mandibular shift;;;;下顎シフト;;;;;;
o;décalage squelettique;skeletal shift;;;;骨格シフト;;;;;;
o;décalages dentaires;tooth shifts;;;;歯固め;;;;;;
o;décalages horizontaux;horizontal shifts;;;;水平シフト;;;;;;
o;décalages mandibulaires;mandibular shifts;;;;下顎シフト;;;;;;
o;décalages squelettiques;skeletal shifts;;;;骨格シフト;;;;;;
pt;déchaussement;heaving;;;;えいえい;;;;;;
o;déchaussemente;removal;;;;えいえい;;;;;;
o;déchaussementes;heaving;;;;えいえい;;;;;;
o;déchaussements;heaving;;;;えいえい;;;;;;
pt;dédentation;visit;;;;訪問;;;;;;
o;dédentationne;dedentationne;;;;デデンテーション;;;;;;
o;dédentationnes;dedentationnes;;;;デデンテーション;;;;;;
o;dédentations;dedications;;;;献辞;;;;;;
pt;déficit mandibulaire;mandibular deficit;;;;下顎欠損;;;;;;
pt;déficit maxillaire;maxillary deficit;;;;上顎欠損;;;;;;
o;déficits mandibulaires;mandibular deficiencies;;;;下顎欠損;;;;;;
o;déficits maxillaires;maxillary deficiencies;;;;顎欠損;;;;;;
t;déglutition;swallowing;;;;呑み込み;;;;;;
pt;déglutition primaire;primary swallowing;;;;一次嚥下;;;;;;
o;déglutitions primaires;primary swallowing;;;;一次嚥下;;;;;;
pt;déplacement articulaire;joint displacement;;;;関節変位;;;;;;
pt;déplacement corporel;bodily displacement;;;;身体変位;;;;;;
pt;déplacement distal;distal displacement;;;;遠位変位;;;;;;
pt;déplacement du ménisque;meniscus displacement;;;;半月板変位;;;;;;
pt;déplacement en bloc;block travel;;;;ブロック旅行;;;;;;
pt;déplacement mésial;mesial displacement;;;;中間の変位;;;;;;
o;déplacements articulaires;joint movements;;;;関節運動;;;;;;
o;déplacements corporels;bodily movements;;;;身のこなし;;;;;;
o;déplacements distaux;distal movements;;;;遠位の動き;;;;;;
o;déplacements dus ménisques;meniscus displacements;;;;半月板の変位;;;;;;
o;déplacements ens blocs;moves in blocks;;;;ブロック移動;;;;;;
o;déplacements mésiaux;mesial displacements;;;;中間の変位;;;;;;
t;détartrage;descaling;;;;スケール除去;;;;;;
pt;développement;development;;;;開発;;;;;;
o;développemente;development;;;;開発;;;;;;
o;développementes;development;;;;開発;;;;;;
o;développements;developments;;;;展開;;;;;;
pt;déviation de la ligne médiane;deviation of the median line;;;;中央線の偏差;;;;;;
pt;déviation de la mandibule;deviation of the mandible;;;;下顎偏位;;;;;;
pt;déviation faciale;facial deviation;;;;顔面偏差値;;;;;;
t;déviation mandibulaire;mandibular deviation;;;;下顎偏位;;;;;;
pt;déviation mandibulaire fonctionnelle;functional mandibular deviation;;;;下顎機能的偏位;;;;;;
o;déviation mandibulaire latérale;lateral mandibular deviation;;;;下顎外側偏位;;;;;;
t;déviation maxillaire;maxillary deviation;;;;上顎偏位;;;;;;
o;déviation maxillaire latérale;lateral maxillary deviation;;;;上顎外側偏位;;;;;;
o;déviations des las lignes médianes;deviations from the centre lines;;;;センターラインからのずれ;;;;;;
o;déviations des las mandibules;deviations of the mandibles;;;;下顎の偏位;;;;;;
o;déviations faciales;facial deviations;;;;顔面偏差値;;;;;;
o;déviations mandibulaires fonctionnelles;functional mandibular deviations;;;;下顎機能的偏位;;;;;;
o;déviations mandibulaires latérales;lateral mandibular deviations;;;;下顎外側偏位;;;;;;
o;déviations maxillaires latérales;lateral maxillary deviations;;;;上顎外側偏位;;;;;;
pt;dévitalisation nécessaire;necessary devitalisation;;;;必要な活性化;;;;;;
o;dévitalisations nécessaires;necessary devitalizations;;;;必要な権利剥奪;;;;;;
pt;early treatment;early treatment;;;;早期治療;;;;;;
o;earlys treatments;earlys treatments;;;;早期治療;;;;;;
pt;ectopic tooth;ectopic tooth;;;;異所性歯;;;;;;
o;ectopics tooths;ectopics tooths;;;;エクストピックス・トゥース;;;;;;
t;ectopie;ectopy;;;;エクトピー;;;;;;
o;ectopie dentaire;dental ectopy;;;;デンタルエクトピー;;;;;;
o;ectopies dentaires;dental ectopias;;;;歯科用エクトピア;;;;;;
pt;edentation;edentation;;;;エデンテーション;;;;;;
o;edentationne;edentationne;;;;エデンテーション;;;;;;
o;edentationnes;edentationnes;;;;エデンテーション;;;;;;
o;edentations;edentations;;;;岬湾;;;;;;
pt;emergency;emergency;;;;緊急;;;;;;
o;emergencys;emergencys;;;;エマージェンシーズ;;;;;;
t;empreinte;footprint;;;;フットプリント;;;;;;
pt;empreinte dentaire;dental impression;;;;歯型;;;;;;
pt;empreinte numérique;digital footprint;;;;デジタルフットプリント;;;;;;
o;empreintes dentaires;dental impressions;;;;歯型;;;;;;
o;empreintes numériques;digital footprints;;;;デジタルフットプリント;;;;;;
o;en arrière;backwards;;;;後方;;;;;;
o;en avant;ahead;;;;先に;;;;;;
pt;encombrement;space requirement;;;;スペース要件;;;;;;
o;encombremente;clutter;;;;乱雑;;;;;;
o;encombrementes;space requirements;;;;スペース要件;;;;;;
o;encombrements;congestion;;;;混雑;;;;;;
a;encombré;crowded;;;;満員;;;;;;
a;encombrée;cluttered;;;;がしゃがしゃ;;;;;;
a;encombrées;cluttered;;;;がしゃがしゃ;;;;;;
a;encombrés;cluttered;;;;がしゃがしゃ;;;;;;
t;endoalvéolie;endoalveolus;;;;エンドアルベオラス;;;;;;
pt;enfoncement;sinking;;;;沈没;;;;;;
o;enfoncemente;embedding;;;;埋め込み;;;;;;
o;enfoncementes;recesses;;;;休会;;;;;;
o;enfoncements;dents;;;;へこたれ;;;;;;
o;ens arrières;ens arrières;;;;アン・アリエール;;;;;;
o;ens avants;front sets;;;;フロントセット;;;;;;
pt;entassement dentaire;dental crowding;;;;歯列叢生;;;;;;
o;entassements dentaires;dental crowding;;;;歯列叢生;;;;;;
pt;erp;erp;;;;エラップ;;;;;;
o;erpe;erpe;;;;イーアールピーイー;;;;;;
o;erpes;erpes;;;;イーアールピー;;;;;;
o;erps;erps;;;;イーアールピー;;;;;;
pt;espace;space;;;;スペース;;;;;;
pt;espace entre les dents;space between teeth;;;;歯間;;;;;;
pt;espace interdentaire;interdental space;;;;歯間スペース;;;;;;
pt;espacement;spacing;;;;スペーシング;;;;;;
pt;espacement généralisé;generalised spacing;;;;一般化スペーシング;;;;;;
o;espacemente;spacing;;;;スペーシング;;;;;;
o;espacementes;spacing;;;;スペーシング;;;;;;
pt;espacements;spacing;;;;スペーシング;;;;;;
o;espacements généralisés;generalised spacing;;;;一般化スペーシング;;;;;;
pt;espaces;spaces;;;;スペース;;;;;;
o;espaces entres les dents;spaces between teeth;;;;歯と歯の間;;;;;;
pt;espaces interdentaires;interdental spaces;;;;歯間スペース;;;;;;
pt;espaces multiples;multiple spaces;;;;マルチスペース;;;;;;
o;espacé;spaced;;;;スペーシッド;;;;;;
o;espacée;spaced;;;;スペーシッド;;;;;;
o;espacées;spaced;;;;スペーシッド;;;;;;
o;espacés;spaced;;;;スペーシッド;;;;;;
pt;esthétique;aesthetics;;;;美学;;;;;;
o;esthétiques;aesthetics;;;;美学;;;;;;
pt;examen orthodontique;orthodontic examination;;;;矯正歯科検診;;;;;;
o;examens orthodontiques;orthodontic examinations;;;;矯正歯科検診;;;;;;
pt;excès mandibulaire;mandibular excess;;;;下顎過剰;;;;;;
o;excès mandibulaires;mandibular excess;;;;下顎過剰;;;;;;
pt;excès maxillaire;maxillary excess;;;;上顎過剰;;;;;;
o;excès maxillaires;maxillary excess;;;;上顎過剰;;;;;;
pt;exodontie;exodontia;;;;歯牙矯正術;;;;;;
o;exodonties;exodonties;;;;歯列矯正;;;;;;
pt;expansion;expansion;;;;拡大;;;;;;
pt;expansion lente;slow expansion;;;;スローエクスパンション;;;;;;
o;expansion rapide du palais;rapid expansion of the palate;;;;口蓋の急速拡大;;;;;;
o;expansionne;expansionne;;;;エキスパンション;;;;;;
o;expansionnes;expansionnes;;;;エクスパンションネス;;;;;;
o;expansions;expansions;;;;拡張;;;;;;
o;expansions lentes;slow expansion;;;;スローエクスパンション;;;;;;
o;expansions rapides dus palais;rapid expansion of the palate;;;;口蓋の急速拡大;;;;;;
pt;extraction;extraction;;;;抽出;;;;;;
pt;extraction dentaire;dental extraction;;;;抜歯;;;;;;
o;extractionne;extractionne;;;;エクストラクション;;;;;;
o;extractionnes;extractionnes;;;;エクストラクネス;;;;;;
o;extractions;extractions;;;;抜歯;;;;;;
o;extractions dentaires;dental extractions;;;;抜歯;;;;;;
pt;extrusion;extrusion;;;;突出部;;;;;;
o;extrusionne;extrudes;;;;出物;;;;;;
o;extrusionnes;extruded;;;;押し出し;;;;;;
o;extrusions;extrusions;;;;押出成形品;;;;;;
pt;fil;wire;;;;ワイヤー;;;;;;
pt;fil d'arc;bow wire;;;;弓ワイヤー;;;;;;
pt;fil de contention;support wire;;;;サポートワイヤー;;;;;;
pt;fil métallique;metal wire;;;;金属線;;;;;;
pt;fil niti;niti wire;;;;ニティスレッド;;;;;;
pt;fil orthodontique;orthodontic wire;;;;歯列矯正ワイヤー;;;;;;
pt;fil qui blesse;thread that hurts;;;;痛い糸;;;;;;
pt;fil qui dépasse;protruding thread;;;;突き出た糸;;;;;;
t;fil qui pique;itchy thread;;;;痒い糸;;;;;;
pt;fil rectangulaire;rectangular wire;;;;角線;;;;;;
pt;fil rond;round wire;;;;丸線;;;;;;
pt;fil saillant;projecting wire;;;;突出しワイヤー;;;;;;
pt;fil thermoactif;thermoactive yarn;;;;熱活性糸;;;;;;
o;filles;girls;;;;女子;;;;;;
o;fils;son;;;;息子;;;;;;
o;fils d'arcs;arch wires;;;;アーチワイヤー;;;;;;
o;fils des contentions;restraint wires;;;;拘束ワイヤー;;;;;;
o;fils métalliques;metal threads;;;;金属糸;;;;;;
o;fils nitis;nitis wires;;;;NiTisワイヤー;;;;;;
o;fils orthodontiques;orthodontic wires;;;;歯列矯正ワイヤー;;;;;;
o;fils quis blesses;sons who are injured;;;;負傷した息子たち;;;;;;
o;fils quis dépasses;protruding wires;;;;突き出たワイヤー;;;;;;
o;fils rectangulaires;rectangular wires;;;;長方形ワイヤー;;;;;;
o;fils ronds;round wires;;;;丸線;;;;;;
o;fils saillants;protruding wires;;;;突き出たワイヤー;;;;;;
o;fils thermoactifs;thermoactive yarns;;;;サーモアクティブヤーン;;;;;;
a;fixe;fixed;;;;固定;;;;;;
a;fixes;fixed;;;;固定;;;;;;
pt;follow-up;follow-up;;;;フォローアップ;;;;;;
pt;fonction de déglutition;swallowing function;;;;嚥下機能;;;;;;
pt;fonction masticatoire;chewing function;;;;咀嚼機能;;;;;;
pt;fonction masticatrice;chewing function;;;;咀嚼機能;;;;;;
pt;fonction phonatoire;phonatory function;;;;音声機能;;;;;;
o;fonctions des déglutitions;swallowing functions;;;;嚥下機能;;;;;;
o;fonctions masticatoires;chewing functions;;;;咀嚼機能;;;;;;
o;fonctions masticatrices;chewing functions;;;;咀嚼機能;;;;;;
o;fonctions phonatoires;phonatory functions;;;;音韻機能;;;;;;
pt;forsus;forsus;;;;フォーサス;;;;;;
o;forsusse;forsusse;;;;フォーサッセ;;;;;;
o;forsusses;forsusses;;;;フォルス;;;;;;
o;frontal;front;;;;フロント;;;;;;
o;frontale;front;;;;フロント;;;;;;
o;frontales;frontal;;;;前額部;;;;;;
o;frontaux;front-ends;;;;フロントエンド;;;;;;
pt;functional appliance;functional appliance;;;;機能アプライアンス;;;;;;
o;functionaux appliances;functional appliances;;;;機能家電;;;;;;
pt;fusion osseuse;bone fusion;;;;骨融合;;;;;;
o;fusions osseuses;bone fusions;;;;骨癒合;;;;;;
pt;gap;gap;;;;ギャップ;;;;;;
o;gape;gape;;;;隙間;;;;;;
o;gapes;gapes;;;;顎門;;;;;;
o;gaps;gaps;;;;隙間;;;;;;
a;gauche;left;;;;左;;;;;;
a;gauches;left;;;;左;;;;;;
pt;gencives rouges;red gums;;;;赤い歯茎;;;;;;
pt;gingival recession;gingival recession;;;;歯肉退縮;;;;;;
o;gingivaux recessions;gingival recessions;;;;歯肉退縮;;;;;;
t;gingivite;gingivitis;;;;歯肉炎;;;;;;
pt;gingivitis;gingivitis;;;;歯肉炎;;;;;;
o;gingivitisse;gingivitis;;;;歯肉炎;;;;;;
o;gingivitisses;gingivitis;;;;歯肉炎;;;;;;
pt;glissement mandibulaire;mandibular slippage;;;;下顎すべり症;;;;;;
o;glissements mandibulaires;mandibular slippage;;;;下顎すべり症;;;;;;
t;gouttière;gutter;;;;側溝;;;;;;
pt;gouttière orthodontique;orthodontic splint;;;;矯正用スプリント;;;;;;
pt;gouttière transparente;transparent gutter;;;;透明樋;;;;;;
o;gouttières orthodontiques;orthodontic splints;;;;矯正用スプリント;;;;;;
o;gouttières transparentes;transparent gutters;;;;透明雨どい;;;;;;
pt;grande mâchoire;large jaw;;;;大顎;;;;;;
o;grandes mâchoires;large jaws;;;;大顎;;;;;;
pt;grandir;grow;;;;育つ;;;;;;
o;grandire;grandire;;;;グランディール;;;;;;
o;grandires;bigires;;;;ビギレス;;;;;;
o;grandirs;grandirs;;;;グランディアーズ;;;;;;
pa;grave;serious;;;;シリアス;;;;;;
pa;graves;serious;;;;シリアス;;;;;;
pt;grince des dents;grits its teeth;;;;歯を食いしばる;;;;;;
pt;grincement;squeaking;;;;ぎこぎこ;;;;;;
o;grincemente;squeaks;;;;ギシギシ;;;;;;
o;grincementes;squeaks;;;;ギシギシ;;;;;;
o;grincements;creaks;;;;きしみ;;;;;;
pt;grincent des dents;grit their teeth;;;;歯を食いしばる;;;;;;
o;grincents des dents;teeth grinding;;;;歯ぎしり;;;;;;
o;grinces des dents;teeth grinding;;;;歯ぎしり;;;;;;
pt;grinding;grinding;;;;研磨;;;;;;
pt;grosse dent;large tooth;;;;大歯;;;;;;
pt;grosse mâchoire;big jaw;;;;大顎;;;;;;
o;grosses dents;big teeth;;;;大きな歯;;;;;;
o;grosses mâchoires;big jaws;;;;大顎;;;;;;
pt;growth;growth;;;;成長;;;;;;
o;habitude de succion;sucking habit;;;;吸い癖;;;;;;
o;habitudes des succions;sucking habits;;;;吸い癖;;;;;;
pa;harmonieuse;harmonious;;;;和気あいあい;;;;;;
pa;harmonieuses;harmonious;;;;和気あいあい;;;;;;
pa;harmonieux;harmonious;;;;和気あいあい;;;;;;
pt;hawley;hawley;;;;ホーリー;;;;;;
t;herbst;herbst;;;;ハーブスト;;;;;;
t;hygiène;hygiene;;;;衛生;;;;;;
pt;hygiène bucco-dentaire;oral hygiene;;;;口腔衛生;;;;;;
pt;hygiène dentaire;dental hygiene;;;;歯科衛生士;;;;;;
o;hygiènes bucco-dentaires;oral hygiene;;;;口腔衛生;;;;;;
o;hygiènes dentaires;dental hygiene;;;;歯科衛生士;;;;;;
pt;hyperdontie;hyperdontia;;;;過度歯;;;;;;
o;hyperdonties;hyperdontia;;;;過度歯;;;;;;
pt;hyperplasie;hyperplasia;;;;過形成;;;;;;
o;hyperplasies;hyperplasias;;;;過形成;;;;;;
pt;hypodontie;hypodontia;;;;歯牙下部;;;;;;
o;hypodonties;hypodontia;;;;歯牙下部;;;;;;
pt;hypoplasie;hypoplasia;;;;低形成;;;;;;
o;hypoplasies;hypoplasias;;;;低形成;;;;;;
a;idéal;ideal;;;;理想的;;;;;;
a;idéale;ideal;;;;理想的;;;;;;
a;idéales;ideal;;;;理想的;;;;;;
a;idéaux;ideals;;;;理想;;;;;;
pt;imagerie 3d;3d imaging;;;;3Dイメージング;;;;;;
a;immédiat;immediate;;;;即時;;;;;;
a;immédiate;immediate;;;;即時;;;;;;
a;immédiates;immediate;;;;即時;;;;;;
a;immédiats;immediate;;;;即時;;;;;;
pt;impacted tooth;impacted tooth;;;;埋伏歯;;;;;;
o;impacteds tooths;impacteds tooths;;;;歯;;;;;;
pt;impaction;impaction;;;;埋伏;;;;;;
o;impactionne;impactionne;;;;インパクションネ;;;;;;
o;impactionnes;impactionnes;;;;インパクションネス;;;;;;
o;impactions;impactions;;;;影響;;;;;;
pt;implant orthodontique temporaire;temporary orthodontic implant;;;;暫間矯正用インプラント;;;;;;
o;implants orthodontiques temporaires;temporary orthodontic implants;;;;仮歯矯正用インプラント;;;;;;
pa;important;important;;;;重要;;;;;;
pa;importante;important;;;;重要;;;;;;
pa;importantes;important;;;;重要;;;;;;
pa;importants;important;;;;重要;;;;;;
pt;impression;printing;;;;印刷;;;;;;
o;impressionne;impresses;;;;感動;;;;;;
o;impressionnes;impress;;;;インプレッション;;;;;;
o;impressions;prints;;;;プリント;;;;;;
pt;imu;imu;;;;イミュ;;;;;;
o;imue;imue;;;;IMUe;;;;;;
o;imues;imues;;;;IMU;;;;;;
o;imus;imus;;;;IMU;;;;;;
a;incisif;incisive;;;;鋭い;;;;;;
a;incisifs;incisive;;;;鋭い;;;;;;
t;incisive;incisor;;;;門歯;;;;;;
a;incisives;incisors;;;;門歯;;;;;;
pt;inclinaison;tilt;;;;チルト;;;;;;
pt;inclinaison dentaire;dental inclination;;;;歯牙傾斜;;;;;;
pt;inclinaison linguale;lingual tilt;;;;舌側傾斜;;;;;;
pt;inclinaison radiculaire;root inclination;;;;根の傾斜;;;;;;
o;inclinaisonne;inclined;;;;傾斜;;;;;;
o;inclinaisonnes;inclinations;;;;しせい;;;;;;
o;inclinaisons;inclinations;;;;しせい;;;;;;
o;inclinaisons dentaires;dental inclinations;;;;歯牙傾斜;;;;;;
o;inclinaisons linguales;lingual inclinations;;;;舌の傾斜;;;;;;
o;inclinaisons radiculaires;root inclinations;;;;根の傾斜;;;;;;
pt;incliné vers l'extérieur;inclined outwards;;;;外向き;;;;;;
pt;incliné vers la joue;inclined towards the cheek;;;;頬がこける;;;;;;
pt;incliné vers la langue;inclined towards the tongue;;;;舌側;;;;;;
o;inclinés vers l'extérieurs;inclined outwards;;;;外向き;;;;;;
o;inclinés vers las joues;inclined towards the cheeks;;;;頬がこける;;;;;;
o;inclinés vers las langues;inclined towards languages;;;;語学志向;;;;;;
a;inclus;including;;;;を含む;;;;;;
t;inclusion;inclusion;;;;包含;;;;;;
o;inclusse;incl.;;;;を含む。;;;;;;
o;inclusses;including;;;;を含む;;;;;;
pt;inconfort;discomfort;;;;不快感;;;;;;
o;inconforte;uncomfortable;;;;気詰まり;;;;;;
o;inconfortes;discomfort;;;;不快感;;;;;;
o;inconforts;discomfort;;;;不快感;;;;;;
a;infectieuse;infectious;;;;感染性;;;;;;
a;infectieuses;infectious;;;;感染性;;;;;;
a;infectieux;infectious;;;;感染性;;;;;;
pt;inflammation articulaire;joint inflammation;;;;関節炎;;;;;;
pt;inflammation des gencives;inflammation of the gums;;;;歯ぐきの炎症;;;;;;
pt;inflammation gingivale;gingival inflammation;;;;歯肉炎;;;;;;
o;inflammations articulaires;joint inflammations;;;;関節炎;;;;;;
o;inflammations des gencives;inflammation of the gums;;;;歯ぐきの炎症;;;;;;
o;inflammations gingivales;gum inflammation;;;;歯茎の炎症;;;;;;
pt;infra-position;infra-position;;;;ざいい;;;;;;
o;infra-positionne;infra-positionne;;;;インフラ・ポジション;;;;;;
o;infra-positionnes;sub-positional;;;;サブポジション;;;;;;
o;infra-positions;infra-positions;;;;インファーポジション;;;;;;
t;infraclusion;undercover;;;;おとり捜査;;;;;;
t;infraposition;infraposition;;;;こうち;;;;;;
o;inférieur;lower;;;;下げる;;;;;;
o;inférieurs;lower;;;;下げる;;;;;;
o;inférieuse;lower;;;;下げる;;;;;;
o;inférieuses;lower;;;;下げる;;;;;;
t;ingression;ingression;;;;移入;;;;;;
pt;interception orthodontique;orthodontic interception;;;;歯列矯正インターセプト;;;;;;
o;interceptions orthodontiques;orthodontic interceptions;;;;歯列矯正のインターセプト;;;;;;
t;interposition linguale;lingual interposition;;;;舌側;;;;;;
pt;intervention;intervention;;;;介入;;;;;;
o;interventionne;intervention;;;;介入;;;;;;
o;interventionnes;interventions;;;;介入;;;;;;
o;interventions;interventions;;;;介入;;;;;;
pt;intrusion;intrusion;;;;乱入;;;;;;
pt;intrusion dentaire;dental intrusion;;;;歯牙侵入;;;;;;
o;intrusionne;visit;;;;訪問;;;;;;
o;intrusionnes;intrusion;;;;乱入;;;;;;
o;intrusions;intrusions;;;;乱入;;;;;;
o;intrusions dentaires;dental intrusions;;;;歯牙侵入;;;;;;
pt;inversion de position;position inversion;;;;ポジション反転;;;;;;
o;inversions des positions;position reversals;;;;ポジション逆転;;;;;;
pt;invisalign;invisalign;;;;インビザライン;;;;;;
o;invisaligne;invisalign;;;;インビザライン;;;;;;
o;invisalignes;invisalignes;;;;インビザライン;;;;;;
o;invisaligns;invisaligns;;;;インライン矯正;;;;;;
pt;ipr;rpi;;;;購買力指数;;;;;;
o;ipre;ipre;;;;アイピーアールイー;;;;;;
o;ipres;ipres;;;;知的財産権;;;;;;
o;iprs;iprs;;;;知的財産権;;;;;;
pt;irritation;irritation;;;;苛立ち;;;;;;
o;irritationne;irritation;;;;苛立ち;;;;;;
o;irritationnes;irritation;;;;苛立ち;;;;;;
o;irritations;irritations;;;;癪;;;;;;
pt;jaw surgery;jaw surgery;;;;顎の手術;;;;;;
pt;langue basse;lower tongue;;;;舌下;;;;;;
pt;langue entre les dents;tongue between teeth;;;;歯と歯の間の舌;;;;;;
o;langues basses;low languages;;;;低言語;;;;;;
o;langues entres les dents;tongues between teeth;;;;歯と歯の間の舌;;;;;;
pt;lateral ceph;lateral ceph;;;;側頭骨;;;;;;
