terme_fr;langue;terme_traduit;fournisseur;type;date
bruxomanies;en;bruxism;deepl;tag;2025-12-12 20:56:57
clenching;en;clenching;deepl;tag;2025-12-12 20:56:57
grincement;en;squeaking;deepl;tag;2025-12-12 20:56:57
grincemente;en;squeaks;deepl;tag;2025-12-12 20:56:57
grincements;en;creaks;deepl;tag;2025-12-12 20:56:57
grincementes;en;squeaks;deepl;tag;2025-12-12 20:56:57
grinding;en;grinding;deepl;tag;2025-12-12 20:56:57
serrement;en;tightening;deepl;tag;2025-12-12 20:56:57
serremente;en;tightening;deepl;tag;2025-12-12 20:56:57
serrements;en;clamping;deepl;tag;2025-12-12 20:56:57
serrementes;en;clamps;deepl;tag;2025-12-12 20:56:57
usure dentaire;en;tooth wear;deepl;tag;2025-12-12 20:56:57
usures dentaires;en;tooth wear;deepl;tag;2025-12-12 20:56:57
grince des dents;en;grits its teeth;deepl;tag;2025-12-12 20:56:57
grinces des dents;en;teeth grinding;deepl;tag;2025-12-12 20:56:57
grincent des dents;en;grit their teeth;deepl;tag;2025-12-12 20:56:57
grincents des dents;en;teeth grinding;deepl;tag;2025-12-12 20:56:57
dents qui grincent;en;grinding teeth;deepl;tag;2025-12-12 20:56:57
dents quis grincents;en;teeth that grind;deepl;tag;2025-12-12 20:56:57
nocturne;en;night;deepl;adjectif;2025-12-12 20:56:57
nocturnes;en;nocturnal;deepl;adjectif;2025-12-12 20:56:57
diurne;en;diurnal;deepl;adjectif;2025-12-12 20:56:57
diurnes;en;diurnal;deepl;adjectif;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;glossaire;adjectif;2025-12-12 20:56:57
bénigne;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénins;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénignes;en;benign;glossaire;adjectif;2025-12-12 20:56:57
avulsion;en;avulsion;deepl;tag;2025-12-12 20:56:57
arrachage dentaire;en;dental extraction;deepl;tag;2025-12-12 20:56:57
arrachages dentaires;en;dental extraction;deepl;tag;2025-12-12 20:56:57
dédentation;en;visit;deepl;tag;2025-12-12 20:56:57
dédentationne;en;dedentationne;deepl;tag;2025-12-12 20:56:57
dédentations;en;dedications;deepl;tag;2025-12-12 20:56:57
dédentationnes;en;dedentationnes;deepl;tag;2025-12-12 20:56:57
exodontie;en;exodontia;deepl;tag;2025-12-12 20:56:57
exodonties;en;exodonties;deepl;tag;2025-12-12 20:56:57
extraction;en;extraction;deepl;tag;2025-12-12 20:56:57
extractionne;en;extractionne;deepl;tag;2025-12-12 20:56:57
extractions;en;extractions;deepl;tag;2025-12-12 20:56:57
extractionnes;en;extractionnes;deepl;tag;2025-12-12 20:56:57
extraction dentaire;en;dental extraction;deepl;tag;2025-12-12 20:56:57
extractions dentaires;en;dental extractions;deepl;tag;2025-12-12 20:56:57
immédiat;en;immediate;deepl;adjectif;2025-12-12 20:56:57
immédiate;en;immediate;deepl;adjectif;2025-12-12 20:56:57
immédiats;en;immediate;deepl;adjectif;2025-12-12 20:56:57
immédiates;en;immediate;deepl;adjectif;2025-12-12 20:56:57
différé;en;deferred;deepl;adjectif;2025-12-12 20:56:57
différée;en;deferred;deepl;adjectif;2025-12-12 20:56:57
différés;en;deferred;deepl;adjectif;2025-12-12 20:56:57
différées;en;deferred;deepl;adjectif;2025-12-12 20:56:57
programmé;en;programmed;deepl;adjectif;2025-12-12 20:56:57
programmée;en;programmed;deepl;adjectif;2025-12-12 20:56:57
programmés;en;programmed;deepl;adjectif;2025-12-12 20:56:57
programmées;en;programmed;deepl;adjectif;2025-12-12 20:56:57
activateur;en;activator;deepl;tag;2025-12-12 20:56:57
appareil fonctionnel;en;functional device;deepl;tag;2025-12-12 20:56:57
appareils fonctionnels;en;functional devices;deepl;tag;2025-12-12 20:56:57
functional appliance;en;functional appliance;deepl;tag;2025-12-12 20:56:57
functionaux appliances;en;functional appliances;deepl;tag;2025-12-12 20:56:57
appareil amovible fonctionnel;en;functional removable appliance;deepl;tag;2025-12-12 20:56:57
appareils amovibles fonctionnels;en;functional removable appliances;deepl;tag;2025-12-12 20:56:57
appareil d'activation;en;activation device;deepl;tag;2025-12-12 20:56:57
appareils d'activations;en;activation devices;deepl;tag;2025-12-12 20:56:57
activateur orthodontique;en;orthodontic activator;deepl;tag;2025-12-12 20:56:57
activateurs orthodontiques;en;orthodontic activators;deepl;tag;2025-12-12 20:56:57
monobloc;en;monobloc;deepl;tag;2025-12-12 20:56:57
monobloque;en;monobloc;deepl;tag;2025-12-12 20:56:57
monoblocs;en;monoblocs;deepl;tag;2025-12-12 20:56:57
monobloques;en;monoblock;deepl;tag;2025-12-12 20:56:57
activateur de classe II;en;class II activator;deepl;tag;2025-12-12 20:56:57
arc;en;arc;deepl;tag;2025-12-12 20:56:57
fil orthodontique;en;orthodontic wire;deepl;tag;2025-12-12 20:56:57
fils orthodontiques;en;orthodontic wires;deepl;tag;2025-12-12 20:56:57
fil;en;wire;deepl;tag;2025-12-12 20:56:57
fille;en;girl;glossaire;tag;2025-12-12 20:56:57
fils;en;son;deepl;tag;2025-12-12 20:56:57
filles;en;girls;deepl;tag;2025-12-12 20:56:57
wire;en;wire;deepl;tag;2025-12-12 20:56:57
archwire;en;archwire;deepl;tag;2025-12-12 20:56:57
fil métallique;en;metal wire;deepl;tag;2025-12-12 20:56:57
fils métalliques;en;metal threads;deepl;tag;2025-12-12 20:56:57
fil rond;en;round wire;deepl;tag;2025-12-12 20:56:57
fils ronds;en;round wires;deepl;tag;2025-12-12 20:56:57
fil rectangulaire;en;rectangular wire;deepl;tag;2025-12-12 20:56:57
fils rectangulaires;en;rectangular wires;deepl;tag;2025-12-12 20:56:57
fil d'arc;en;bow wire;deepl;tag;2025-12-12 20:56:57
fils d'arcs;en;arch wires;deepl;tag;2025-12-12 20:56:57
arc orthodontique;en;orthodontic arch;deepl;tag;2025-12-12 20:56:57
arcs orthodontiques;en;orthodontic archwires;deepl;tag;2025-12-12 20:56:57
bagues;en;rings;deepl;tag;2025-12-12 20:56:57
brackets;en;brackets;deepl;tag;2025-12-12 20:56:57
bracketsse;en;bracketsse;deepl;tag;2025-12-12 20:56:57
bracketsses;en;bracketsses;deepl;tag;2025-12-12 20:56:57
attaches;en;fasteners;deepl;tag;2025-12-12 20:56:57
attachesse;en;attachment;deepl;tag;2025-12-12 20:56:57
attachesses;en;attachesses;deepl;tag;2025-12-12 20:56:57
broches;en;pins;deepl;tag;2025-12-12 20:56:57
brochesse;en;brochesse;deepl;tag;2025-12-12 20:56:57
brochesses;en;brochesses;deepl;tag;2025-12-12 20:56:57
braces;en;braces;deepl;tag;2025-12-12 20:56:57
bracesse;en;bracesse;deepl;tag;2025-12-12 20:56:57
bracesses;en;bracesses;deepl;tag;2025-12-12 20:56:57
bracket;en;bracket;deepl;tag;2025-12-12 20:56:57
brackète;en;brackets;deepl;tag;2025-12-12 20:56:57
brackètes;en;brackets;deepl;tag;2025-12-12 20:56:57
appareil orthodontique;en;orthodontic appliance;deepl;tag;2025-12-12 20:56:57
appareils orthodontiques;en;orthodontic appliances;deepl;tag;2025-12-12 20:56:57
appareil dentaire;en;dental appliance;deepl;tag;2025-12-12 20:56:57
appareils dentaires;en;dental braces;deepl;tag;2025-12-12 20:56:57
appareil multi-attaches;en;multi-attachment device;deepl;tag;2025-12-12 20:56:57
appareils multi-attaches;en;multi-attachment devices;deepl;tag;2025-12-12 20:56:57
attaches orthodontiques;en;orthodontic brackets;deepl;tag;2025-12-12 20:56:57
boîtiers orthodontiques;en;orthodontic braces;deepl;tag;2025-12-12 20:56:57
bielles;en;connecting rods;deepl;tag;2025-12-12 20:56:57
bielle;en;connecting rod;deepl;tag;2025-12-12 20:56:57
bielles;en;connecting rods;glossaire;tag;2025-12-12 20:56:57
Forsus;en;Forsus;deepl;tag;2025-12-12 20:56:57
Forsusse;en;Forsusse;deepl;tag;2025-12-12 20:56:57
Forsusses;en;Forsusses;deepl;tag;2025-12-12 20:56:57
PowerScope;en;PowerScope;deepl;tag;2025-12-12 20:56:57
système de bielles;en;connecting rod system;deepl;tag;2025-12-12 20:56:57
systèmes des bielles;en;connecting rod systems;deepl;tag;2025-12-12 20:56:57
céramique;en;ceramics;deepl;tag;2025-12-12 20:56:57
ceramic;en;ceramic;deepl;tag;2025-12-12 20:56:57
ceramique;en;ceramics;deepl;tag;2025-12-12 20:56:57
ceramics;en;ceramics;deepl;tag;2025-12-12 20:56:57
ceramiques;en;ceramics;deepl;tag;2025-12-12 20:56:57
esthétique;en;aesthetics;deepl;tag;2025-12-12 20:56:57
esthétiques;en;aesthetics;deepl;tag;2025-12-12 20:56:57
transparent;en;transparent;deepl;tag;2025-12-12 20:56:57
transparente;en;transparent;deepl;tag;2025-12-12 20:56:57
transparents;en;transparencies;deepl;tag;2025-12-12 20:56:57
transparentes;en;transparent;deepl;tag;2025-12-12 20:56:57
brackets céramiques;en;ceramic brackets;deepl;tag;2025-12-12 20:56:57
attaches céramiques;en;ceramic fasteners;deepl;tag;2025-12-12 20:56:57
contention;en;restraint;deepl;tag;2025-12-12 20:56:57
appareil de contention;en;restraint device;deepl;tag;2025-12-12 20:56:57
appareils des contentions;en;restraint equipment;deepl;tag;2025-12-12 20:56:57
fil de contention;en;support wire;deepl;tag;2025-12-12 20:56:57
fils des contentions;en;restraint wires;deepl;tag;2025-12-12 20:56:57
hawley;en;hawley;deepl;tag;2025-12-12 20:56:57
maintenance;en;maintenance;deepl;tag;2025-12-12 20:56:57
maintenances;en;maintenance;deepl;tag;2025-12-12 20:56:57
maintien;en;maintenance;deepl;tag;2025-12-12 20:56:57
maintienne;en;maintain;deepl;tag;2025-12-12 20:56:57
maintiens;en;support;deepl;tag;2025-12-12 20:56:57
maintiennes;en;hold;deepl;tag;2025-12-12 20:56:57
plaque de contention;en;support plate;deepl;tag;2025-12-12 20:56:57
plaques des contentions;en;restraint plates;deepl;tag;2025-12-12 20:56:57
retention;en;retention;deepl;tag;2025-12-12 20:56:57
retentionne;en;retentionne;deepl;tag;2025-12-12 20:56:57
retentions;en;retentions;deepl;tag;2025-12-12 20:56:57
retentionnes;en;retention;deepl;tag;2025-12-12 20:56:57
stabilisation;en;stabilisation;deepl;tag;2025-12-12 20:56:57
stabilisationne;en;stabilisationne;deepl;tag;2025-12-12 20:56:57
stabilisations;en;stabilisations;deepl;tag;2025-12-12 20:56:57
stabilisationnes;en;stabilisation;deepl;tag;2025-12-12 20:56:57
fixe;en;fixed;deepl;adjectif;2025-12-12 20:56:57
fixes;en;fixed;deepl;adjectif;2025-12-12 20:56:57
collé;en;glued;deepl;adjectif;2025-12-12 20:56:57
collée;en;glued;deepl;adjectif;2025-12-12 20:56:57
collés;en;glued;deepl;adjectif;2025-12-12 20:56:57
collées;en;glued;deepl;adjectif;2025-12-12 20:56:57
amovible;en;removable;deepl;adjectif;2025-12-12 20:56:57
amovibles;en;removable;deepl;adjectif;2025-12-12 20:56:57
disjoncteur;en;circuit breaker;deepl;tag;2025-12-12 20:56:57
expansion;en;expansion;deepl;tag;2025-12-12 20:56:57
expansionne;en;expansionne;deepl;tag;2025-12-12 20:56:57
expansions;en;expansions;deepl;tag;2025-12-12 20:56:57
expansionnes;en;expansionnes;deepl;tag;2025-12-12 20:56:57
disjonction;en;disconnection;deepl;tag;2025-12-12 20:56:57
disjonctionne;en;disconnects;deepl;tag;2025-12-12 20:56:57
disjonctions;en;circuit breakers;deepl;tag;2025-12-12 20:56:57
disjonctionnes;en;disconnected;deepl;tag;2025-12-12 20:56:57
disjoncteur palatin;en;pallet circuit breaker;deepl;tag;2025-12-12 20:56:57
disjoncteurs palatins;en;palatine circuit breakers;deepl;tag;2025-12-12 20:56:57
quad helix;en;quad helix;deepl;tag;2025-12-12 20:56:57
quads helix;en;helix quad bikes;deepl;tag;2025-12-12 20:56:57
appareil d'expansion;en;expansion device;deepl;tag;2025-12-12 20:56:57
appareils d'expansions;en;expansion devices;deepl;tag;2025-12-12 20:56:57
appareil d'expansion palatine;en;palatal expansion device;deepl;tag;2025-12-12 20:56:57
appareils d'expansions palatines;en;palatal expansion devices;deepl;tag;2025-12-12 20:56:57
ERP;en;ERP;deepl;tag;2025-12-12 20:56:57
ERPe;en;ERPe;deepl;tag;2025-12-12 20:56:57
ERPs;en;ERPs;deepl;tag;2025-12-12 20:56:57
ERPes;en;ERPes;deepl;tag;2025-12-12 20:56:57
expansion rapide du palais;en;rapid expansion of the palate;deepl;tag;2025-12-12 20:56:57
expansions rapides dus palais;en;rapid expansion of the palate;deepl;tag;2025-12-12 20:56:57
écarteur;en;spreader;deepl;tag;2025-12-12 20:56:57
séparateur;en;separator;deepl;tag;2025-12-12 20:56:57
séparatrice;en;separator;deepl;tag;2025-12-12 20:56:57
séparateurs;en;separators;deepl;tag;2025-12-12 20:56:57
séparatrices;en;separators;deepl;tag;2025-12-12 20:56:57
separator;en;separator;deepl;tag;2025-12-12 20:56:57
separatore;en;separatore;deepl;tag;2025-12-12 20:56:57
separators;en;separators;deepl;tag;2025-12-12 20:56:57
separatores;en;separatores;deepl;tag;2025-12-12 20:56:57
élastique séparateur;en;elastic separator;deepl;tag;2025-12-12 20:56:57
élastiques séparateurs;en;elastic separators;deepl;tag;2025-12-12 20:56:57
anneau séparateur;en;spacer ring;deepl;tag;2025-12-12 20:56:57
anneaux séparateurs;en;separator rings;deepl;tag;2025-12-12 20:56:57
élastiques intermaxillaires;en;intermaxillary elastics;deepl;tag;2025-12-12 20:56:57
élastiques de classe;en;class elastics;deepl;tag;2025-12-12 20:56:57
élastiques classe II;en;class II elastics;deepl;tag;2025-12-12 20:56:57
élastiques classe III;en;class III elastics;deepl;tag;2025-12-12 20:56:57
rubber bands;en;rubber bands;deepl;tag;2025-12-12 20:56:57
rubbers bands;en;rubbers bands;deepl;tag;2025-12-12 20:56:57
IMU;en;IMU;deepl;tag;2025-12-12 20:56:57
IMUe;en;IMUe;deepl;tag;2025-12-12 20:56:57
IMUs;en;IMUs;deepl;tag;2025-12-12 20:56:57
IMUes;en;IMUes;deepl;tag;2025-12-12 20:56:57
gouttière;en;gutter;deepl;tag;2025-12-12 20:56:57
invisalign;en;invisalign;deepl;tag;2025-12-12 20:56:57
invisaligne;en;invisalign;deepl;tag;2025-12-12 20:56:57
invisaligns;en;invisaligns;deepl;tag;2025-12-12 20:56:57
invisalignes;en;invisalignes;deepl;tag;2025-12-12 20:56:57
aligneur;en;aligner;deepl;tag;2025-12-12 20:56:57
aligneuse;en;aligner;deepl;tag;2025-12-12 20:56:57
aligneurs;en;aligners;deepl;tag;2025-12-12 20:56:57
aligneuses;en;aligners;deepl;tag;2025-12-12 20:56:57
aligneur invisible;en;invisible aligner;deepl;tag;2025-12-12 20:56:57
aligneurs invisibles;en;invisible aligners;deepl;tag;2025-12-12 20:56:57
appareil amovible transparent;en;removable transparent device;deepl;tag;2025-12-12 20:56:57
appareils amovibles transparents;en;transparent removable devices;deepl;tag;2025-12-12 20:56:57
clear aligner;en;clear align;deepl;tag;2025-12-12 20:56:57
clears aligners;en;clears aligners;deepl;tag;2025-12-12 20:56:57
gouttière orthodontique;en;orthodontic splint;deepl;tag;2025-12-12 20:56:57
gouttières orthodontiques;en;orthodontic splints;deepl;tag;2025-12-12 20:56:57
gouttière transparente;en;transparent gutter;deepl;tag;2025-12-12 20:56:57
gouttières transparentes;en;transparent gutters;deepl;tag;2025-12-12 20:56:57
plaque;en;plate;deepl;tag;2025-12-12 20:56:57
plaques;en;plates;deepl;tag;2025-12-12 20:56:57
Herbst;en;Herbst;deepl;tag;2025-12-12 20:56:57
appareil de Herbst;en;appliance from Herbst;deepl;tag;2025-12-12 20:56:57
appareils des Herbsts;en;Herbsts appliances;deepl;tag;2025-12-12 20:56:57
correction classe II;en;Class II correction;deepl;tag;2025-12-12 20:56:57
bielle de Herbst;en;Herbst connecting rod;deepl;tag;2025-12-12 20:56:57
bielles des Herbsts;en;Herbsts rods;deepl;tag;2025-12-12 20:56:57
vérin de Herbst;en;Herbst cylinder;deepl;tag;2025-12-12 20:56:57
vérins des Herbsts;en;Herbsts cylinders;deepl;tag;2025-12-12 20:56:57
ligature;en;ligation;deepl;tag;2025-12-12 20:56:57
élastique;en;elastic;deepl;tag;2025-12-12 20:56:57
élastiques;en;elastic bands;deepl;tag;2025-12-12 20:56:57
tie;en;tie;deepl;tag;2025-12-12 20:56:57
ties;en;ties;deepl;tag;2025-12-12 20:56:57
attache;en;attachment;deepl;tag;2025-12-12 20:56:57
attaches;en;fasteners;glossaire;tag;2025-12-12 20:56:57
ligatures métalliques;en;metal ligatures;deepl;tag;2025-12-12 20:56:57
ligatures élastiques;en;elastic ligatures;deepl;tag;2025-12-12 20:56:57
ligature colorée;en;coloured ligature;deepl;tag;2025-12-12 20:56:57
ligatures colorées;en;coloured ligatures;deepl;tag;2025-12-12 20:56:57
mainteneur d'espace;en;space maintainer;deepl;tag;2025-12-12 20:56:57
space maintainer;en;space maintainer;deepl;tag;2025-12-12 20:56:57
spaces maintainers;en;spaces maintainers;deepl;tag;2025-12-12 20:56:57
bague et anse;en;ring and handle;deepl;tag;2025-12-12 20:56:57
bagues ets anses;en;rings and handles;deepl;tag;2025-12-12 20:56:57
appareil mainteneur d'espace;en;space maintainer;deepl;tag;2025-12-12 20:56:57
appareils mainteneurs d'espaces;en;space maintainers;deepl;tag;2025-12-12 20:56:57
minivis;en;minivis;deepl;tag;2025-12-12 20:56:57
mini-vis;en;mini-screw;deepl;tag;2025-12-12 20:56:57
mini-visse;en;mini screw;deepl;tag;2025-12-12 20:56:57
mini-visses;en;mini screws;deepl;tag;2025-12-12 20:56:57
mini implant;en;mini implant;deepl;tag;2025-12-12 20:56:57
minis implants;en;mini implants;deepl;tag;2025-12-12 20:56:57
ancrage osseux;en;bone anchoring;deepl;tag;2025-12-12 20:56:57
ancrages osseux;en;bone anchors;deepl;tag;2025-12-12 20:56:57
TADs;en;TADs;deepl;tag;2025-12-12 20:56:57
TADsse;en;TADsse;deepl;tag;2025-12-12 20:56:57
TADsses;en;TADsses;deepl;tag;2025-12-12 20:56:57
ancrage squelettique;en;skeletal anchoring;deepl;tag;2025-12-12 20:56:57
ancrages squelettiques;en;skeletal anchors;deepl;tag;2025-12-12 20:56:57
vis d'ancrage;en;anchor screws;deepl;tag;2025-12-12 20:56:57
vis d'ancrages;en;anchor bolts;deepl;tag;2025-12-12 20:56:57
implant orthodontique temporaire;en;temporary orthodontic implant;deepl;tag;2025-12-12 20:56:57
implants orthodontiques temporaires;en;temporary orthodontic implants;deepl;tag;2025-12-12 20:56:57
pendulum;en;pendulum;deepl;tag;2025-12-12 20:56:57
distalisation molaire;en;molar distalization;deepl;tag;2025-12-12 20:56:57
distalisations molaires;en;molar distalization;deepl;tag;2025-12-12 20:56:57
appareil pendulum;en;pendulum device;deepl;tag;2025-12-12 20:56:57
appareils pendulums;en;pendulum devices;deepl;tag;2025-12-12 20:56:57
plaque amovible;en;removable plate;deepl;tag;2025-12-12 20:56:57
appareil amovible;en;removable appliance;deepl;tag;2025-12-12 20:56:57
appareils amovibles;en;removable appliances;deepl;tag;2025-12-12 20:56:57
removable appliance;en;removable appliance;deepl;tag;2025-12-12 20:56:57
removables appliances;en;removable appliances;deepl;tag;2025-12-12 20:56:57
plaque orthodontique;en;orthodontic plate;deepl;tag;2025-12-12 20:56:57
plaques orthodontiques;en;orthodontic plates;deepl;tag;2025-12-12 20:56:57
Propulsor;en;Propulsor;deepl;tag;2025-12-12 20:56:57
CI II Propulseur;en;CI II Thruster;deepl;tag;2025-12-12 20:56:57
CIs IIs Propulseurs;en;CIs IIs Thrusters;deepl;tag;2025-12-12 20:56:57
CI 2 Propulseur;en;CI 2 Thruster;deepl;tag;2025-12-12 20:56:57
Classe II Propulseur;en;Class II Thruster;deepl;tag;2025-12-12 20:56:57
Classe 2 Propulseur;en;Class 2 Thruster;deepl;tag;2025-12-12 20:56:57
propulseur classe II;en;Class II propellant;deepl;tag;2025-12-12 20:56:57
quad helix;en;quad helix;glossaire;tag;2025-12-12 20:56:57
4 helix;en;4 helix;deepl;tag;2025-12-12 20:56:57
quadri-hélix;en;quadri-helix;deepl;tag;2025-12-12 20:56:57
quadri-hélisse;en;four-coat;deepl;tag;2025-12-12 20:56:57
quadri-hélisses;en;quad helix;deepl;tag;2025-12-12 20:56:57
expansion lente;en;slow expansion;deepl;tag;2025-12-12 20:56:57
expansions lentes;en;slow expansion;deepl;tag;2025-12-12 20:56:57
agénésie;en;agenesis;deepl;tag;2025-12-12 20:56:57
agenesie;en;agenesie;deepl;tag;2025-12-12 20:56:57
agenesies;en;agenesies;deepl;tag;2025-12-12 20:56:57
dent manquante;en;missing tooth;deepl;tag;2025-12-12 20:56:57
dents manquantes;en;missing teeth;deepl;tag;2025-12-12 20:56:57
absence de dent;en;absence of teeth;deepl;tag;2025-12-12 20:56:57
absences des dents;en;missing teeth;deepl;tag;2025-12-12 20:56:57
hypodontie;en;hypodontia;deepl;tag;2025-12-12 20:56:57
hypodonties;en;hypodontia;deepl;tag;2025-12-12 20:56:57
oligodontie;en;oligodonty;deepl;tag;2025-12-12 20:56:57
oligodonties;en;oligodontia;deepl;tag;2025-12-12 20:56:57
anodontie;en;anodontics;deepl;tag;2025-12-12 20:56:57
anodonties;en;anodonties;deepl;tag;2025-12-12 20:56:57
dent absente;en;missing tooth;deepl;tag;2025-12-12 20:56:57
dents absentes;en;missing teeth;deepl;tag;2025-12-12 20:56:57
ankylose;en;ankylosis;deepl;tag;2025-12-12 20:56:57
dent ankylosée;en;ankylosed tooth;deepl;tag;2025-12-12 20:56:57
dents ankylosées;en;ankylosed teeth;deepl;tag;2025-12-12 20:56:57
fusion osseuse;en;bone fusion;deepl;tag;2025-12-12 20:56:57
fusions osseuses;en;bone fusions;deepl;tag;2025-12-12 20:56:57
ankilose;en;ankilose;deepl;tag;2025-12-12 20:56:57
ankiloses;en;ankiloses;deepl;tag;2025-12-12 20:56:57
caries dentaires;en;dental caries;deepl;tag;2025-12-12 20:56:57
carie;en;caries;deepl;tag;2025-12-12 20:56:57
caries;en;cavities;deepl;tag;2025-12-12 20:56:57
cavité;en;cavity;deepl;tag;2025-12-12 20:56:57
cavitée;en;cavity;deepl;tag;2025-12-12 20:56:57
cavités;en;cavities;deepl;tag;2025-12-12 20:56:57
cavitées;en;cavities;deepl;tag;2025-12-12 20:56:57
tooth decay;en;tooth decay;deepl;tag;2025-12-12 20:56:57
tooths decays;en;tooths decays;deepl;tag;2025-12-12 20:56:57
dental caries;en;dental caries;deepl;tag;2025-12-12 20:56:57
dentaux caries;en;tooth decay;deepl;tag;2025-12-12 20:56:57
lésion carieuse;en;carious lesion;deepl;tag;2025-12-12 20:56:57
lésions carieuses;en;carious lesions;deepl;tag;2025-12-12 20:56:57
crowding;en;crowding;deepl;tag;2025-12-12 20:56:57
encombrement;en;space requirement;deepl;tag;2025-12-12 20:56:57
encombremente;en;clutter;deepl;tag;2025-12-12 20:56:57
encombrements;en;congestion;deepl;tag;2025-12-12 20:56:57
encombrementes;en;space requirements;deepl;tag;2025-12-12 20:56:57
chevauchement;en;overlap;deepl;tag;2025-12-12 20:56:57
chevauchemente;en;overlaps;deepl;tag;2025-12-12 20:56:57
chevauchements;en;overlaps;deepl;tag;2025-12-12 20:56:57
chevauchementes;en;overlaps;deepl;tag;2025-12-12 20:56:57
manque de place;en;lack of space;deepl;tag;2025-12-12 20:56:57
manques des places;en;missing places;deepl;tag;2025-12-12 20:56:57
dents qui se chevauchent;en;overlapping teeth;deepl;tag;2025-12-12 20:56:57
dents quis ses chevauchents;en;teeth that overlap;deepl;tag;2025-12-12 20:56:57
entassement dentaire;en;dental crowding;deepl;tag;2025-12-12 20:56:57
entassements dentaires;en;dental crowding;deepl;tag;2025-12-12 20:56:57
crowding dentaire;en;dental crowding;deepl;tag;2025-12-12 20:56:57
dent surnuméraire;en;supernumerary tooth;deepl;tag;2025-12-12 20:56:57
dent en trop;en;extra tooth;deepl;tag;2025-12-12 20:56:57
dents ens trops;en;overgrown teeth;deepl;tag;2025-12-12 20:56:57
dent supplémentaire;en;additional tooth;deepl;tag;2025-12-12 20:56:57
dents supplémentaires;en;additional teeth;deepl;tag;2025-12-12 20:56:57
hyperdontie;en;hyperdontia;deepl;tag;2025-12-12 20:56:57
hyperdonties;en;hyperdontia;deepl;tag;2025-12-12 20:56:57
mésiodens;en;mesiodens;deepl;tag;2025-12-12 20:56:57
mésiodensse;en;mesiodensis;deepl;tag;2025-12-12 20:56:57
mésiodensses;en;mesiodenses;deepl;tag;2025-12-12 20:56:57
supernuméraire;en;supernumerary;deepl;tag;2025-12-12 20:56:57
supernuméraires;en;supernumeraries;deepl;tag;2025-12-12 20:56:57
diastème;en;diastema;deepl;tag;2025-12-12 20:56:57
diasteme;en;diasteme;deepl;tag;2025-12-12 20:56:57
diastemes;en;screens;deepl;tag;2025-12-12 20:56:57
espace;en;space;deepl;tag;2025-12-12 20:56:57
espaces;en;spaces;deepl;tag;2025-12-12 20:56:57
gap;en;gap;deepl;tag;2025-12-12 20:56:57
gape;en;gape;deepl;tag;2025-12-12 20:56:57
gaps;en;gaps;deepl;tag;2025-12-12 20:56:57
gapes;en;gapes;deepl;tag;2025-12-12 20:56:57
space;en;space;deepl;tag;2025-12-12 20:56:57
spaces;en;spaces;deepl;tag;2025-12-12 20:56:57
espacement;en;spacing;deepl;tag;2025-12-12 20:56:57
espacemente;en;spacing;deepl;tag;2025-12-12 20:56:57
espacements;en;spacing;deepl;tag;2025-12-12 20:56:57
espacementes;en;spacing;deepl;tag;2025-12-12 20:56:57
diastème central;en;central diastema;deepl;tag;2025-12-12 20:56:57
diastèmes centraux;en;central diastemas;deepl;tag;2025-12-12 20:56:57
dents écartées;en;teeth apart;deepl;tag;2025-12-12 20:56:57
écartement dentaire;en;dental spacing;deepl;tag;2025-12-12 20:56:57
écartements dentaires;en;dental spacings;deepl;tag;2025-12-12 20:56:57
espace interdentaire;en;interdental space;glossaire;tag;2025-12-12 20:56:57
espaces interdentaires;en;interdental spaces;glossaire;tag;2025-12-12 20:56:57
dents du bonheur;en;happiness teeth;deepl;tag;2025-12-12 20:56:57
dents dus bonheurs;en;dents dus bonheurs;deepl;tag;2025-12-12 20:56:57
diastemata;en;diastemata;deepl;tag;2025-12-12 20:56:57
diastèmes;en;diastemas;deepl;tag;2025-12-12 20:56:57
diastèmesse;en;diastema;deepl;tag;2025-12-12 20:56:57
diastèmesses;en;diastemas;deepl;tag;2025-12-12 20:56:57
